State,REGION,SEX,CITY,Zipcode,DISTRICT,VILLAGE,MARITAL_STATUS,Location,Address type,Ownership,No_of_Active_Loan_In_Bureau,Avg_Disbursement_Amount_Bureau,Non_Agriculture_Income,Total_Land_For_Agriculture,"K022-Village category based on Agri parameters (Good, Average, Poor)",K022-Nearest Mandi Name,K022-Proximity to nearest mandi (Km),K022-Proximity to nearest railway (Km),KO22-Village score based on socio-economic parameters (0 to 100),"K022-Village category based on socio-economic parameters (Good, Average, Poor)",K022-Seasonal Average Rainfall (mm),K022-Ambient temperature (min & max),"R022-Village category based on Agri parameters (Good, Average, Poor)",R022-Seasonal Average Rainfall (mm),R022-Ambient temperature (min & max),K021-Seasonal Average Rainfall (mm),K021-Ambient temperature (min & max),R021-Seasonal Average Rainfall (mm),R021-Ambient temperature (min & max),R020-Seasonal Average Rainfall (mm),R020-Ambient temperature (min & max),Perc_of_house_with_6plus_room,Women_15_19_Mothers_or_Pregnant_at_time_of_survey,perc_of_pop_living_in_hh_electricity,perc_Households_with_Pucca_House_That_Has_More_Than_3_Rooms,mat_roof_Metal_GI_Asbestos_sheets,perc_of_Wall_material_with_Burnt_brick,Households_with_improved_Sanitation_Facility,perc_Households_do_not_have_KCC_With_The_Credit_Limit_Of_50k,K022-Total Geographical Area (in Hectares)-,K022-Net Agri area (in Ha)-,K022-Net Agri area (% of total geog area)-,Kharif Seasons  Irrigated area in 2022,Kharif Seasons  Cropping density in 2022,Kharif Seasons  Agricultural performance in 2022,Kharif Seasons  Agricultural Score in 2022,Kharif Seasons  Type of soil in 2022,Kharif Seasons  Type of water bodies in hectares 2022,Kharif Seasons  Agro Ecological Sub Zone in 2022,Kharif Seasons  Seasonal average groundwater thickness (cm) in 2022,Kharif Seasons  Seasonal average groundwater replenishment rate (cm) in 2022,Rabi Seasons  Season Irrigated area in 2022,Rabi Seasons Cropping density in 2022,Rabi Seasons Agricultural performance in 2022,Rabi Seasons Agricultural Score in 2022,Rabi Seasons Type of soil in 2022,Rabi Seasons Type of water bodies in hectares 2022,Rabi Seasons Agro Ecological Sub Zone in 2022,Rabi Seasons Seasonal average groundwater thickness (cm) in 2022,Rabi Seasons Seasonal average groundwater replenishment rate (cm) in 2022,Rabi Seasons Kharif Season Irrigated area in 2021,Rabi Seasons Cropping density in 2021,Rabi Seasons Agricultural performance in 2021,Rabi Seasons Agricultural Score in 2021,Rabi Seasons Type of soil in 2021,Rabi Seasons Type of water bodies in hectares 2021,Rabi Seasons Agro Ecological Sub Zone in 2021,Rabi Seasons Seasonal average groundwater thickness (cm) in 2021,Rabi Seasons Seasonal average groundwater replenishment rate (cm) in 2021,Kharif Seasons Kharif Season Irrigated area in 2021,Kharif Seasons Cropping density in 2021,Kharif Seasons Agricultural performance in 2021,Kharif Seasons Agricultural Score in 2021,Kharif Seasons Type of soil in 2021,Kharif Seasons Type of water bodies in hectares 2021,Kharif Seasons Agro Ecological Sub Zone in 2021,Kharif Seasons Seasonal average groundwater thickness (cm) in 2021,Kharif Seasons Seasonal average groundwater replenishment rate (cm) in 2021,Kharif Seasons Kharif Season Irrigated area in 2020,Kharif Seasons Cropping density in 2020,Kharif Seasons Agricultural performance in 2020,Kharif Seasons Agricultural Score in 2020,Kharif Seasons Type of soil in 2020,Kharif Seasons Type of water bodies in hectares 2020,Kharif Seasons Agro Ecological Sub Zone in 2020,Kharif Seasons Seasonal average groundwater thickness (cm) in 2020,Kharif Seasons Seasonal average groundwater replenishment rate (cm) in 2020,Rabi Seasons Kharif Season Irrigated area in 2020,Rabi Seasons Cropping density in 2020,Rabi Seasons Agricultural performance in 2020,Rabi Seasons Agricultural Score in 2020,Rabi Seasons Type of soil in 2020,Rabi Seasons Type of water bodies in hectares 2020,Rabi Seasons Agro Ecological Sub Zone in 2020,Rabi Seasons Seasonal average groundwater thickness (cm) in 2020,Rabi Seasons Seasonal average groundwater replenishment rate (cm) in 2020, Village score based on socio-economic parameters (Non normalised), Village score based on socio-economic parameters (0 to 100)," Village category based on socio-economic parameters (Good, Average, Poor)", Road density (Km/ SqKm),Pred_RandomForest,Pred_DecisionTree,Pred_KNN,BestModelPred,ClusterLabel
ANDHRA PRADESH,SOUTH,M,PONNEKALLU,522018.0,GUNTUR,Bandarupalle,M,"23.855855855855857,78.7455814494491",Permanent Address,Owned,6.0,268304.833333333,100000.0,10.0,Average,Tadikonda,7.2,0.0,41.8559774031825,Poor,988.29,25.6 /32.1,Average,147.63,22.28 /32.44,861.56,25.93 /32.43,177.97,21.73 /32.22,84.73,22.67 /32.15,0.72,20.7,99.2,1.54,13.37,43.81,83.4,1.62,2099.81,1791.3,85.31,91.79,55.07,32.0,42.84,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,70.58,20.57,91.79,55.07,37.0,39.88,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,68.61,15.63,91.79,55.07,35.0,48.59,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,71.26,22.53,91.79,55.07,27.0,33.69,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,65.27,12.31,19.88,36.69,20.17,14.95,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,76.0,37.06,91.79,55.07,29.0,35.27,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,64.72,15.83,27.5194536782348,41.8559774031825,Poor,0.7,Very High,Very High,Very High,Very High,1
TELANGANA,SOUTH,F,DUBBAK,502114.0,SIDDIPET,Bandarupalle,M,"18.1006929,78.8462672",Permanent Address,Owned,0.0,130000.0,120000.0,5.0,Average,Tadikonda,7.2,0.0,41.8559774031825,Poor,988.29,25.6 /32.1,Average,147.63,22.28 /32.44,861.56,25.93 /32.43,177.97,21.73 /32.22,84.73,22.67 /32.15,1.23,5.8,99.6,3.82,7.07,36.31,76.2,0.41,2099.81,1791.3,85.31,91.79,55.07,32.0,42.84,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,70.58,20.57,91.79,55.07,37.0,39.88,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,68.61,15.63,91.79,55.07,35.0,48.59,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,71.26,22.53,91.79,55.07,27.0,33.69,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,65.27,12.31,19.88,36.69,20.17,14.95,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,76.0,37.06,91.79,55.07,29.0,35.27,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,64.72,15.83,27.5194536782348,41.8559774031825,Poor,0.7,Low,High,Low,High,1
ANDHRA PRADESH,SOUTH,F,SETTUR,515766.0,ANANTAPUR,Basapuram,M,"23.855855855855857,78.7455814494491",Permanent Address,Owned,0.0,130000.0,300000.0,5.0,Poor,Adoni,5.4,3.9,42.14629419722039,Poor,1027.75,22.76 /29.99,Poor,127.16,21.2 /31.93,574.59,23.05 /29.92,42.46,20.4 /31.83,95.01,22.14 /32.66,0.28,13.6,99.6,3.04,3.98,51.2,71.3,0.55,1218.19,1034.34,84.91,64.51,32.38,23.28,29.79,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,76.69,16.16,89.63,52.83,15.39,27.17,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,77.27,12.83,89.63,17.26,19.21,35.57,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,77.32,18.11,89.63,52.83,0.08,19.8,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,73.84,12.29,89.63,17.26,44.45,43.19,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,75.91,21.2,89.63,52.63,29.62,32.98,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,72.83,13.48,27.6985903746033,42.14629419722039,Poor,0.0,High,Very High,High,Very High,1
ANDHRA PRADESH,SOUTH,M,SETTUR,515766.0,ANANTAPUR,Basapuram,M,"14.3191667,76.9904783",Permanent Address,Owned,1.0,300000.0,100000.0,10.0,Poor,Adoni,5.4,3.9,42.14629419722039,Poor,1027.75,22.76 /29.99,Poor,127.16,21.2 /31.93,574.59,23.05 /29.92,42.46,20.4 /31.83,95.01,22.14 /32.66,0.28,13.6,99.6,3.04,3.98,51.2,71.3,0.55,1218.19,1034.34,84.91,64.51,32.38,23.28,29.79,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,76.69,16.16,89.63,52.83,15.39,27.17,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,77.27,12.83,89.63,17.26,19.21,35.57,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,77.32,18.11,89.63,52.83,0.08,19.8,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,73.84,12.29,89.63,17.26,44.45,43.19,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,75.91,21.2,89.63,52.63,29.62,32.98,Mixed Red and Black Soils,[None],DECCAN PLATEAU  (TELANGANA) AND EASTERN GHATS  HOT SEMI ARID ECO-REGION,72.83,13.48,27.6985903746033,42.14629419722039,Poor,0.0,High,Very High,High,Very High,1
MADHYA PRADESH,CENTRAL,M,NARAYANGARH,458553.0,MANDSAUR,Admalya,M,"24.2676649,75.0503455",Permanent Address,Owned,0.0,130000.0,492500.0,5.0,Poor,Manasa,17.4,20.1,31.01637937420947,Poor,1534.28,23.25 /31.26,Poor,211.06,15.62 /28.67,1144.94,23.14 /30.22,52.52,16.21 /29.91,124.16,16.13 /28.32,1.33,5.85,99.86,3.03,8.36,33.96,65.84,7.9,320.36,203.12,63.4,88.5,84.93,18.66,31.83,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,86.47,17.66,87.21,91.8,29.89,31.34,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,87.51,15.25,45.67,48.08,13.48,22.36,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,86.14,11.52,87.21,91.8,11.59,21.89,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,88.12,21.66,45.67,48.08,23.36,21.49,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,85.98,15.65,85.5,87.05,21.58,26.66,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,90.05,22.44,20.8310022322626,31.01637937420947,Poor,0.0,Low,Low,Low,Low,1
MADHYA PRADESH,CENTRAL,M,NARAYANGARH,458553.0,MANDSAUR,Admalya,M,"23.855855855855857,78.7455814494491",Permanent Address,Owned,9.0,66555.5555555555,100000.0,5.0,Poor,Manasa,17.4,20.1,31.01637937420947,Poor,1534.28,23.25 /31.26,Poor,211.06,15.62 /28.67,1144.94,23.14 /30.22,52.52,16.21 /29.91,124.16,16.13 /28.32,1.33,5.85,99.86,3.03,8.36,33.96,65.84,7.9,320.36,203.12,63.4,88.5,84.93,18.66,31.83,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,86.47,17.66,87.21,91.8,29.89,31.34,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,87.51,15.25,45.67,48.08,13.48,22.36,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,86.14,11.52,87.21,91.8,11.59,21.89,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,88.12,21.66,45.67,48.08,23.36,21.49,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,85.98,15.65,85.5,87.05,21.58,26.66,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,90.05,22.44,20.8310022322626,31.01637937420947,Poor,0.0,Low,Low,Low,Low,1
MADHYA PRADESH,CENTRAL,M,NARAYANGARH,458553.0,MANDSAUR,Admalya,M,"23.855855855855857,78.7455814494491",Permanent Address,Owned,8.0,4687.5,100000.0,4.0,Poor,Manasa,17.4,20.1,31.01637937420947,Poor,1534.28,23.25 /31.26,Poor,211.06,15.62 /28.67,1144.94,23.14 /30.22,52.52,16.21 /29.91,124.16,16.13 /28.32,1.33,5.85,99.86,3.03,8.36,33.96,65.84,7.9,320.36,203.12,63.4,88.5,84.93,18.66,31.83,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,86.47,17.66,87.21,91.8,29.89,31.34,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,87.51,15.25,45.67,48.08,13.48,22.36,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,86.14,11.52,87.21,91.8,11.59,21.89,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,88.12,21.66,45.67,48.08,23.36,21.49,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,85.98,15.65,85.5,87.05,21.58,26.66,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,90.05,22.44,20.8310022322626,31.01637937420947,Poor,0.0,Low,Low,Low,Low,1
MADHYA PRADESH,CENTRAL,M,NEEMUCH,458441.0,NEEMUCH,Admalya,M,"24.4143239,74.9923502",Current Address,Owned,4.0,471250.0,250000.0,5.0,Poor,Manasa,17.4,20.1,31.01637937420947,Poor,1534.28,23.25 /31.26,Poor,211.06,15.62 /28.67,1144.94,23.14 /30.22,52.52,16.21 /29.91,124.16,16.13 /28.32,2.51,4.12,99.6,3.09,9.51,35.57,68.84,6.42,320.36,203.12,63.4,88.5,84.93,18.66,31.83,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,86.47,17.66,87.21,91.8,29.89,31.34,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,87.51,15.25,45.67,48.08,13.48,22.36,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,86.14,11.52,87.21,91.8,11.59,21.89,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,88.12,21.66,45.67,48.08,23.36,21.49,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,85.98,15.65,85.5,87.05,21.58,26.66,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,90.05,22.44,20.8310022322626,31.01637937420947,Poor,0.0,High,Low,Low,Low,1
MADHYA PRADESH,CENTRAL,M,NARAYANGARH,458553.0,MANDSAUR,Admalya,M,"23.855855855855857,78.7455814494491",Permanent Address,Owned,0.0,130000.0,100000.0,5.0,Poor,Manasa,17.4,20.1,31.01637937420947,Poor,1534.28,23.25 /31.26,Poor,211.06,15.62 /28.67,1144.94,23.14 /30.22,52.52,16.21 /29.91,124.16,16.13 /28.32,1.33,5.85,99.86,3.03,8.36,33.96,65.84,7.9,320.36,203.12,63.4,88.5,84.93,18.66,31.83,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,86.47,17.66,87.21,91.8,29.89,31.34,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,87.51,15.25,45.67,48.08,13.48,22.36,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,86.14,11.52,87.21,91.8,11.59,21.89,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,88.12,21.66,45.67,48.08,23.36,21.49,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,85.98,15.65,85.5,87.05,21.58,26.66,Deep Black soils (with shallow and medium Black Soils as inclusion),[None],CENTRAL HIGHLANDS ( MALWA )  GUJARAT PLAIN AND KATHIAWAR PENINSULA  SEMI-ARID ECO-REGION,90.05,22.44,20.8310022322626,31.01637937420947,Poor,0.0,Low,Low,Low,Low,1
ODISHA,EAST,M,KENDRAPARA SADAR,754208.0,KENDRAPARA,Oragala,S,"20.5219494,86.4029012",Permanent Address,Parental,0.0,130000.0,500000.0,5.0,Poor,Kendupatna,13.9,7.6,34.89764739047195,Poor,1343.65,25.8 /31.32,Poor,182.82,19.87 /29.25,1173.6,25.94 /31.21,139.33,20.11 /31.01,501.57,19.82 /28.78,1.92,1.8,99.5,7.39,3.46,49.23,57.3,1.54,95.19,49.27,51.76,59.67,65.56,9.68,19.98,Coastal and Deltaic Alluvium derived Soils,[None],EASTERN COASTAL PLAIN  HOT SUBHUMID TO SEMI-ARID EGO-REGION,74.77,40.87,71.36,49.97,12.22,19.46,Coastal and Deltaic Alluvium derived Soils,[None],EASTERN COASTAL PLAIN  HOT SUBHUMID TO SEMI-ARID EGO-REGION,74.9,35.07,95.07,85.04,16.04,38.84,Coastal and Deltaic Alluvium derived Soils,[None],EASTERN COASTAL PLAIN  HOT SUBHUMID TO SEMI-ARID EGO-REGION,69.46,38.83,71.36,49.97,11.34,18.34,Coastal and Deltaic Alluvium derived Soils,[None],EASTERN COASTAL PLAIN  HOT SUBHUMID TO SEMI-ARID EGO-REGION,74.27,35.01,95.07,85.04,17.5,31.33,Coastal and Deltaic Alluvium derived Soils,[None],EASTERN COASTAL PLAIN  HOT SUBHUMID TO SEMI-ARID EGO-REGION,78.1,33.49,95.07,54.15,30.55,31.64,Coastal and Deltaic Alluvium derived Soils,[None],EASTERN COASTAL PLAIN  HOT SUBHUMID TO SEMI-ARID EGO-REGION,73.75,31.84,23.2258947925023,34.89764739047195,Poor,0.0,Low,Low,Low,Low,1
MADHYA PRADESH,CENTRAL,M,SABALGARH,476229.0,MORENA,Kishorgarh,M,"26.3573235,77.423892",Permanent Address,Owned,0.0,130000.0,110000.0,5.0,Average,Bhitarwar,16.4,15.3,32.17587858713659,Poor,1258.46,24.81 /32.16,Average,133.91,14.93 /27.44,825.54,25.29 /32.7,151.34,15.27 /28.81,167.33,14.76 /26.27,1.91,6.7,99.5,4.25,1.83,22.46,62.7,3.18,537.05,410.01,76.34,94.53,65.39,36.22,41.57,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,61.75,15.13,97.8,78.89,33.65,35.62,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,62.22,8.73,91.22,87.46,36.83,48.26,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,57.72,11.11,97.8,78.89,6.75,22.4,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,60.39,17.9,91.22,87.46,31.48,36.91,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,59.87,11.5,93.02,81.62,27.32,31.1,Mixed Red and Black Soils,[None],NORTHERN PLAIN (AND CENTRAL HIGHLANDS) INCLUDING ARAVALLIS  HOT SEMI-ARID EGO-REGION,64.62,13.13,21.5464581160119,32.17587858713659,Poor,0.0,Low,Low,Low,Low,1
MAHARASHTRA,WEST,M,OZAR,423502.0,NASHIK,Dalwat,M,"23.855855855855857,78.7455814494491",Permanent Address,Owned,1.0,79400.0,0.0,2.0,Poor,Suragana,18.6,41.0,30.5489540818115,Poor,1575.43,20.86 /26.95,Poor,227.49,17.43 /28.39,771.62,20.88 /26.7,146.29,17.89 /29.19,35.77,17.49 /28.41,0.59,14.0,95.3,4.35,28.62,34.87,68.3,0.68,408.81,251.01,61.4,55.59,64.74,36.25,31.24,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,87.76,52.06,16.49,39.25,31.59,18.8,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,78.12,39.19,86.41,35.73,30.3,39.09,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,74.37,35.19,16.49,39.25,16.32,10.71,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,84.08,47.79,86.41,35.73,16.45,29.15,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,86.36,48.2,91.85,39.64,27.17,30.02,Shallow Black Soils (with medium and deep Black Soils as  inclusion),[None],DECCAN PLATU  HOT SEMI-ARID ECO-REGION,82.35,43.7,20.5425827388029,30.5489540818115,Poor,9.3,Low,Low,Low,Low,1
MADHYA PRADESH,CENTRAL,M,MAUGANJ,486331.0,REWA,Paipkhara,M,"24.6786797,81.8635374",Both Addresses,Parental,1.0,1097000.0,300000.0,15.0,Poor,Baikunthpur,9.6,18.6,38.11846821452319,Average,1174.57,24.18 /31.45,Poor,90.11,15.05 /28.21,1010.75,24.14 /30.58,96.65,15.1 /28.54,216.37,14.95 /26.65,4.96,4.8,96.5,6.79,0.86,17.14,46.1,2.58,312.96,240.78,76.94,69.31,61.38,22.6,28.65,Mixed Red and Black Soils,[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,68.93,20.06,73.85,73.22,30.21,29.02,Mixed Red and Black Soils,[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,69.81,14.82,69.49,30.07,34.86,36.28,Mixed Red and Black Soils,[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,66.7,14.08,73.85,73.22,22.06,23.88,Mixed Red and Black Soils,[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,72.78,21.77,60.08,43.83,10.01,19.53,Mixed Red and Black Soils,[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,70.45,19.99,86.42,20.48,27.19,28.83,Mixed Red and Black Soils,[None],CENTRAL HIGHLANDS (MALWA AND BUNDELKHAND)  HOT SUBHUMID (DRY) ECO-REGION,71.52,18.11,25.2132658776904,38.11846821452319,Average,0.0,Low,Medium,Low,Medium,1
